dbp,num_peaks,total_peak_length,peaks_overlapping_promoters,peaks_overlapping_lncrna_promoters,peaks_overlapping_mrna_promoters,peaks_overlapping_genebody,peaks_overlapping_lncrna_genebody,peaks_overlapping_mrna_genebody
ZNF343,13384,10225442,10572,2342,8230,15429,3086,12343
ZNF350,59481,82556940,18421,5071,13350,54632,11133,43499
ZNF362,13083,13356747,3987,1036,2951,11685,2448,9237
ZNF383,2110,1386318,2072,439,1633,2574,499,2075
ZNF384,19881,7636853,4248,1031,3217,16011,3201,12810
ZNF407,104405,126016037,21087,6386,14701,93357,17698,75659
ZNF414,17931,11846228,10705,2456,8249,18943,3872,15071
ZNF44,4258,9229664,5099,1183,3916,6211,1321,4890
ZNF446,4654,3250525,5077,1131,3946,5949,1095,4854
ZNF451,23811,24501357,14502,3323,11179,25486,5122,20364
ZNF460,12048,7789162,1873,422,1451,8683,1463,7220
ZNF483,21739,22898667,13167,3000,10167,23406,4813,18593
ZNF485,7377,8984065,5765,1358,4407,8656,1771,6885
ZNF490,2320,1044478,857,199,658,2052,526,1526
ZNF501,57231,67946865,17637,4687,12950,52609,10604,42005
ZNF503,11361,6527267,6322,1474,4848,11891,2604,9287
ZNF510,9838,7947716,8509,1843,6666,11875,2428,9447
ZNF511,33878,24093360,14519,3500,11019,33250,6937,26313
ZNF512,3869,5480098,3219,832,2387,4511,1118,3393
ZNF512B,9923,9587105,6329,1641,4688,10252,2418,7834
ZNF513,1903,893974,2103,417,1686,2404,404,2000
ZNF526,7940,4902317,6996,1486,5510,9446,1812,7634
ZNF543,19932,16712842,13036,2920,10116,21680,4429,17251
ZNF547,31668,44467434,15695,3847,11848,32550,6947,25603
ZNF548,14006,12921788,9766,2213,7553,15659,3269,12390
ZNF550,35410,37935817,14532,3714,10818,33624,6672,26952
ZNF556,24882,27915689,13646,3227,10419,25782,5522,20260
ZNF557,6299,2848471,5178,1142,4036,7192,1457,5735
ZNF572,50416,48364765,15653,4188,11465,46045,8957,37088
ZNF574,45718,38219747,17345,4427,12918,43081,9007,34074
ZNF576,6638,5201350,5534,1243,4291,7559,1495,6064
ZNF580,35919,41573763,15334,3814,11520,34974,7479,27495
ZNF598,25518,48517387,13659,3310,10349,27248,5834,21414
ZNF607,18555,16611327,13257,2960,10297,20665,4127,16538
ZNF608,8489,6802284,7611,1713,5898,10246,2046,8200
ZNF609,14589,13854236,7349,1858,5491,15241,3425,11816
ZNF614,38740,41549967,13613,3441,10172,36899,8033,28866
ZNF616,15953,13507535,12427,2713,9714,18366,3564,14802
ZNF619,38671,48202326,16218,4082,12136,37397,7729,29668
